,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Coverage,Novelty@5,Diversity@5
Random Baseline,0.004405432262338523,0.0010715012494656856,0.00450688335832135,0.004438555813183173,0.0020787772720926,0.004672590894201752,1.0,13.686277040361098,0.0
Popularity Baseline,0.05481947664789665,0.019949486033374486,0.05011141354179355,0.05028155018217954,0.0352003146443783,0.051764062557715235,0.0025753283543651817,9.235220372019583,0.0
Content-Based,0.03564094070884399,0.013677099683595038,0.03777777886826935,0.031517058628684994,0.02330963980761548,0.03703653061130635,0.6286376513005408,12.642115521906977,0.0
ALS (Collaborative),0.308,0.15538788263629683,0.3502487761757772,0.256,0.22006164097068626,0.33785211804669685,0.12129796549060005,9.683582151678475,1.0
ALS + NN (W/O Fuzzy),0.268,0.1360975703878974,0.3073391473963112,0.228,0.18603175178552847,0.29779039704492455,0.09863507597218646,9.833240640030333,1.0
ALS + Fuzzy + NN (Full),0.282,0.13689082644934894,0.31770881211110236,0.22700000000000004,0.17888922895867712,0.29638463109761004,0.09168168941540046,9.761671999104571,1.0
ALS + NN Ensemble (Proposed),0.322,0.15256248223082028,0.3638581935648053,0.27,0.22223562740645617,0.35122352881228713,0.11563224311099665,9.607762824144709,1.0
